"","addr_state","grade","year(issue_d)","sum(loan_amnt)","sum(total_pymnt)","mean(int_rate)","mean(UNEMP_RATE_ISSUE_DT)","mean(AGE)","mean(fico_range_low)"
"1","AK","A",2009,11000,12581.4703769258,8.94,8,1126,760
"2","AK","A",2010,48250,54087.6066602093,7.6025,7.85,1050.25,758.75
"3","AK","A",2011,143300,149275.359720696,7.46769230769231,7.55384615384615,812.769230769231,744.230769230769
"4","AK","A",2012,341900,377568.96667,7.9025,7.12916666666667,789.833333333333,739.791666666667
"5","AK","A",2013,994925,1090724.380628,7.70066666666667,6.9,817.1,729.166666666667
"6","AK","A",2014,1259900,1297376.65414323,7.4973417721519,6.8493670886076,743.632911392405,720.063291139241
"7","AK","A",2015,2820275,2090802.85206513,6.94107784431138,6.43592814371257,529.263473053892,719.461077844311
"8","AK","B",2009,37000,41708.2501434395,11.9966666666667,7.73333333333333,680,740
"9","AK","B",2010,62550,70645.298266554,10.646,7.78,859.2,717
"10","AK","B",2011,104225,115782.265030035,10.861,7.6,721.6,695
"11","AK","B",2012,738550,827966.337896,12.1978947368421,7.03157894736842,794.491228070175,700.087719298246
"12","AK","B",2013,1574600,1810561.14288,11.7920909090909,6.9,799.854545454545,691.636363636364
"13","AK","B",2014,2098825,2240944.45357338,11.0723943661972,6.87816901408451,738.035211267606,694.295774647887
"14","AK","B",2015,2817225,2125912.49440755,10.0611458333333,6.43229166666667,510.739583333333,691.432291666667
"15","AK","C",2008,12200,14648.6028199745,12.29,6.6,1095,685
"16","AK","C",2009,49325,33940.6421114636,13.0075,7.525,730.75,703.75
"17","AK","C",2010,24000,24260.3272737961,13.1025,7.85,790.75,681.25
"18","AK","C",2011,59600,69856.6836268921,13.81,7.475,662.5,698.75
"19","AK","C",2012,310075,352600.867735,15.7137931034483,6.99310344827586,689.034482758621,677.931034482759
"20","AK","C",2013,982500,1093598.95168,15.1904615384615,6.9,749.815384615385,686.923076923077
"21","AK","C",2014,1975300,2119502.50442474,14.1882644628099,6.8702479338843,715.388429752066,685.743801652893
"22","AK","C",2015,2643375,2066821.27595881,13.3054787234043,6.43244680851064,513.984042553191,684.202127659574
"23","AK","D",2010,28000,30133.6011264331,15.455,7.85,807,665
"24","AK","D",2011,6000,6543.59,16.49,7.6,945,670
"25","AK","D",2012,447825,553132.253356,18.2172413793103,7.0551724137931,843.413793103448,671.896551724138
"26","AK","D",2013,655475,736996.519479,18.6381632653061,6.9,758.224489795918,677.65306122449
"27","AK","D",2014,724950,808924.278713043,17.1168518518519,6.88148148148148,706.222222222222,684.074074074074
"28","AK","D",2015,1164850,919180.005343446,16.6157894736842,6.42894736842105,499.092105263158,682.302631578947
"29","AK","E",2008,25000,30683.2508566847,15.25,7,761,680
"30","AK","E",2011,27650,27488.2077482392,19.49,7.5,411,662.5
