"","Experiment","Attribute","Beta.Coeff","P.Value","Adj.R2","DF","Geography","Data.range"
"1",4,"int_rate",0.000703985306567441,0,0.00749668647663249,1833324,"ALL","2011_2015"
"2",4,"AVG.INC.ZIP",-1.09897209069474e-09,0.00320856536785155,0.00749668647663249,1833324,"ALL","2011_2015"
"3",4,"UNEMP.RT.BEGIN_DT",-0.000119120494557425,6.7162386894025e-05,0.00749668647663249,1833324,"ALL","2011_2015"
"4",5,"int_rate",0.000706408846288846,0,0.00750326221991715,1833324,"ALL","2011_2015"
"5",5,"AVG.INC.ZIP",-1.09315729783455e-09,0.00329455955190893,0.00750326221991715,1833324,"ALL","2011_2015"
"6",5,"UNEMP.RT_ISS",-0.000139828092615029,1.1909663701592e-07,0.00750326221991715,1833324,"ALL","2011_2015"
"7",6,"int_rate",0.000708067547129686,0,0.00750931862497506,1833323,"ALL","2011_2015"
"8",6,"AVG.INC.ZIP",-9.56427641044006e-10,0.0105543238858527,0.00750931862497506,1833323,"ALL","2011_2015"
"9",6,"UNEMP.RT_ISS",-0.000429367528309566,8.10019546533417e-07,0.00750931862497506,1833323,"ALL","2011_2015"
"10",6,"UNEMP.RT.BEGIN_DT",0.000343853684901895,0.000481155020074606,0.00750931862497506,1833323,"ALL","2011_2015"
"11",10,"int_rate",0.000923303247084682,5.20070174594759e-78,0.00910094447729415,139688,"ALL","2014Q4_2015"
"12",10,"AVG.INC.ZIP",-1.36473373351449e-09,0.296961127409024,0.00910094447729415,139688,"ALL","2014Q4_2015"
"13",10,"UNEMP.RT.BEGIN_DT",0.000168157000807848,0.233255143498419,0.00910094447729415,139688,"ALL","2014Q4_2015"
"14",11,"int_rate",0.000923380654165493,5.312350558311e-78,0.00909921032039918,139688,"ALL","2014Q4_2015"
"15",11,"AVG.INC.ZIP",-1.42782420838978e-09,0.273230461534607,0.00909921032039918,139688,"ALL","2014Q4_2015"
"16",11,"UNEMP.RT_ISS",0.000143321891806173,0.278082667389594,0.00909921032039918,139688,"ALL","2014Q4_2015"
"17",12,"int_rate",0.000923429478610271,5.22306218547451e-78,0.00909401028084533,139687,"ALL","2014Q4_2015"
"18",12,"AVG.INC.ZIP",-1.35133318973588e-09,0.302856249701459,0.00909401028084533,139687,"ALL","2014Q4_2015"
"19",12,"UNEMP.RT_ISS",-6.31026927146458e-05,0.880800476781783,0.00909401028084533,139687,"ALL","2014Q4_2015"
"20",12,"UNEMP.RT.BEGIN_DT",0.000232117431943041,0.605385585031686,0.00909401028084533,139687,"ALL","2014Q4_2015"
"21",9,"int_rate",0.000581498977362554,4.42801139976302e-54,0.00657206251093068,258787,"ALL","2012H1"
"22",9,"AVG.INC.ZIP",-2.42297363196014e-09,0.0125037561429104,0.00657206251093068,258787,"ALL","2012H1"
"23",9,"UNEMP.RT_ISS",0.00034364661636429,0.133534021471883,0.00657206251093068,258787,"ALL","2012H1"
"24",9,"UNEMP.RT.BEGIN_DT",-0.000149011771536636,0.569683997368398,0.00657206251093068,258787,"ALL","2012H1"
"25",8,"int_rate",0.000581894718172536,3.60520999855204e-54,0.00657466054390232,258788,"ALL","2012H1"
"26",8,"AVG.INC.ZIP",-2.37820713310413e-09,0.0139102437657538,0.00657466054390232,258788,"ALL","2012H1"
"27",8,"UNEMP.RT_ISS",0.000219112236964026,0.00106245889119211,0.00657466054390232,258788,"ALL","2012H1"
"28",7,"int_rate",0.000582296906322357,3.10770668607988e-54,0.00656726041775546,258788,"ALL","2012H1"
"29",7,"AVG.INC.ZIP",-2.32273163757414e-09,0.0163966993242531,0.00656726041775546,258788,"ALL","2012H1"
"30",7,"UNEMP.RT.BEGIN_DT",0.000227063496010897,0.00303268258346166,0.00656726041775546,258788,"ALL","2012H1"
