"Experiment","Attribute","Beta.Coeff","P.Value","Adj.R2","DF","Geography","Data.range"
10,"int_rate",0.000861707181221399,1.12249378002778e-73,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"UNEMP.RT.BEGIN_DT",0.000356862715258552,0.138881519182727,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN0",-0.000129829796881831,0.847789776100909,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN1",0.000791549476317729,0.241585277925141,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN2",0.00153542921704922,0.0235462615523975,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN3",0.00229269875753851,0.000752617704606029,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN4",0.00244796429149431,0.00034505467690735,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN5",0.00407505740604111,3.20598583044441e-09,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN6",0.00480829376119494,4.13637681401863e-12,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN7",0.0041658509280098,2.61039641933824e-09,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN8",0.00516397283802499,2.83010540314312e-13,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN9",0.00731427829424302,1.33824372973037e-24,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN10",0.00646714349801293,1.60073814508901e-17,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN11",0.00751992754362472,1.06743984726986e-20,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN12",0.0075457167580185,4.3602083232938e-18,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN13",0.00800059924311893,2.52542031183962e-18,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN14",0.00641978494012129,6.65029721908946e-11,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN15",0.00666235255450865,6.28352165981602e-10,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN16",0.00706279703295949,1.03125557956661e-09,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN17",0.00820650713398631,1.23006467778044e-10,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN18",0.00950954442599533,3.55211539086401e-11,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN19",0.00716215591360885,6.9922301877515e-06,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN20",0.0103542811353367,6.25408347035796e-09,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN21",0.00507764642497132,0.0199711586732904,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN22",0.00597415080723725,0.0120768999896649,0.00821736980871457,144306,"ALL","2014Q4_2015"
10,"MONTH.AGE.BEGIN23",0.00826448544371658,0.00871995145299189,0.00821736980871457,144306,"ALL","2014Q4_2015"
11,"int_rate",0.000862775311441076,8.2460262965232e-74,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"UNEMP.RT_ISS",0.000162468900830178,0.438723313963269,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN0",-2.58277577912219e-05,0.969413416937337,0.00820643726383208,144306,"ALL","2014Q4_2015"
11,"MONTH.AGE.BEGIN1",0.000876533160274775,0.193555000268529,0.00820643726383208,144306,"ALL","2014Q4_2015"
