"State","YEAR","Zip3","AvgIncome"
"AK",2011,"995xx",125468
"AK",2011,"996xx",74371
"AK",2011,"997xx",65796
"AK",2011,"998xx",80418
"AK",2011,"999xx",51281
"AK",2012,"995xx",130633
"AK",2012,"996xx",77864
"AK",2012,"997xx",69389
"AK",2012,"998xx",83326
"AK",2012,"999xx",52178
"AK",2013,"995xx",134841
"AK",2013,"996xx",82680
"AK",2013,"997xx",69643
"AK",2013,"998xx",86290
"AK",2013,"999xx",53700
"AK",2014,"995xx",145646
"AK",2014,"996xx",89528
"AK",2014,"997xx",75567
"AK",2014,"998xx",94092
"AK",2014,"999xx",55637
"AK",2015,"995xx",145646
"AK",2015,"996xx",89528
"AK",2015,"997xx",75567
"AK",2015,"998xx",94092
"AK",2015,"999xx",55637
"AK",2016,"995xx",145646
"AK",2016,"996xx",89528
"AK",2016,"997xx",75567
"AK",2016,"998xx",94092
"AK",2016,"999xx",55637
"AL",2011,"350xx",49271
"AL",2011,"351xx",53284
"AL",2011,"352xx",144911
"AL",2011,"354xx",61451
"AL",2011,"355xx",20002
"AL",2011,"356xx",62278
"AL",2011,"357xx",94847
"AL",2011,"358xx",104236
"AL",2011,"359xx",35583
"AL",2011,"360xx",40796
"AL",2011,"361xx",112958
"AL",2011,"362xx",36997
"AL",2011,"363xx",64159
"AL",2011,"364xx",22279
"AL",2011,"365xx",54007
"AL",2011,"366xx",87774
"AL",2011,"367xx",28961
"AL",2011,"368xx",62268
"AL",2011,"369xx",8005
"AL",2012,"350xx",49369
"AL",2012,"351xx",54971
"AL",2012,"352xx",161315
"AL",2012,"354xx",63535
"AL",2012,"355xx",20008
"AL",2012,"356xx",62258
"AL",2012,"357xx",98556
"AL",2012,"358xx",105774
"AL",2012,"359xx",35125
"AL",2012,"360xx",40293
"AL",2012,"361xx",109468
"AL",2012,"362xx",36770
"AL",2012,"363xx",63205
"AL",2012,"364xx",22191
"AL",2012,"365xx",55949
"AL",2012,"366xx",88202
"AL",2012,"367xx",27351
"AL",2012,"368xx",66285
"AL",2012,"369xx",7733
"AL",2013,"350xx",50105
"AL",2013,"351xx",56295
"AL",2013,"352xx",162777
"AL",2013,"354xx",64004
"AL",2013,"355xx",20019
"AL",2013,"356xx",62818
"AL",2013,"357xx",98885
"AL",2013,"358xx",105600
"AL",2013,"359xx",35039
"AL",2013,"360xx",40917
"AL",2013,"361xx",109945
"AL",2013,"362xx",37214
"AL",2013,"363xx",63461
"AL",2013,"364xx",22141
"AL",2013,"365xx",58439
"AL",2013,"366xx",89231
"AL",2013,"367xx",27005
"AL",2013,"368xx",62890
"AL",2013,"369xx",7750
"AL",2014,"350xx",50885
"AL",2014,"351xx",58257
"AL",2014,"352xx",177011
"AL",2014,"354xx",67308
"AL",2014,"355xx",20163
"AL",2014,"356xx",64271
"AL",2014,"357xx",104664
"AL",2014,"358xx",109365
"AL",2014,"359xx",34997
"AL",2014,"360xx",42230
"AL",2014,"361xx",112412
"AL",2014,"362xx",37833
"AL",2014,"363xx",64546
"AL",2014,"364xx",22208
"AL",2014,"365xx",60542
"AL",2014,"366xx",91045
"AL",2014,"367xx",26690
"AL",2014,"368xx",64676
"AL",2014,"369xx",7764
"AL",2015,"350xx",50885
"AL",2015,"351xx",58257
"AL",2015,"352xx",177011
"AL",2015,"354xx",67308
"AL",2015,"355xx",20163
"AL",2015,"356xx",64271
"AL",2015,"357xx",104664
"AL",2015,"358xx",109365
"AL",2015,"359xx",34997
"AL",2015,"360xx",42230
"AL",2015,"361xx",112412
"AL",2015,"362xx",37833
"AL",2015,"363xx",64546
"AL",2015,"364xx",22208
"AL",2015,"365xx",60542
"AL",2015,"366xx",91045
"AL",2015,"367xx",26690
"AL",2015,"368xx",64676
"AL",2015,"369xx",7764
"AL",2016,"350xx",50885
"AL",2016,"351xx",58257
"AL",2016,"352xx",177011
"AL",2016,"354xx",67308
"AL",2016,"355xx",20163
"AL",2016,"356xx",64271
"AL",2016,"357xx",104664
"AL",2016,"358xx",109365
"AL",2016,"359xx",34997
"AL",2016,"360xx",42230
"AL",2016,"361xx",112412
"AL",2016,"362xx",37833
"AL",2016,"363xx",64546
"AL",2016,"364xx",22208
"AL",2016,"365xx",60542
"AL",2016,"366xx",91045
"AL",2016,"367xx",26690
"AL",2016,"368xx",64676
"AL",2016,"369xx",7764
"AR",2011,"716xx",45285
"AR",2011,"717xx",51107
"AR",2011,"718xx",47535
"AR",2011,"719xx",68832
"AR",2011,"720xx",73224
"AR",2011,"721xx",63051
"AR",2011,"722xx",99952
"AR",2011,"723xx",40430
"AR",2011,"724xx",70770
"AR",2011,"725xx",27485
"AR",2011,"726xx",42483
"AR",2011,"727xx",113741
"AR",2011,"728xx",31863
"AR",2011,"729xx",51228
"AR",2012,"716xx",44272
"AR",2012,"717xx",52609
"AR",2012,"718xx",47066
"AR",2012,"719xx",70721
"AR",2012,"720xx",75488
"AR",2012,"721xx",64495
"AR",2012,"722xx",106384
"AR",2012,"723xx",38752
"AR",2012,"724xx",71322
"AR",2012,"725xx",27020
"AR",2012,"726xx",42321
"AR",2012,"727xx",130393
"AR",2012,"728xx",32468
"AR",2012,"729xx",51172
"AR",2013,"716xx",43960
"AR",2013,"717xx",50725
"AR",2013,"718xx",47508
"AR",2013,"719xx",70515
"AR",2013,"720xx",76346
"AR",2013,"721xx",65104
"AR",2013,"722xx",104987
"AR",2013,"723xx",38798
"AR",2013,"724xx",71635
"AR",2013,"725xx",27271
"AR",2013,"726xx",42265
"AR",2013,"727xx",134114
"AR",2013,"728xx",32513
"AR",2013,"729xx",51297
"AR",2014,"716xx",44125
"AR",2014,"717xx",52174
"AR",2014,"718xx",47867
"AR",2014,"719xx",72265
"AR",2014,"720xx",79729
"AR",2014,"721xx",66835
"AR",2014,"722xx",110718
"AR",2014,"723xx",39026
"AR",2014,"724xx",74085
