"","id","loan_amnt","total_pymnt","term","int_rate","grade","emp_length","annual_inc","dti","issue_d","last_pymnt_d","purpose","addr_state","earliest_cr_line","fico_range_low","RETURN","AGE","MATURITY","VINTAGE","PERFORM","CURRENT","PREPAID","MONTH.AGE","NEXT_PAY_DT","SURVIVED","UNEMP.RT_ISS","UNEMP.RT.PAY"
"1","10137481",5050,5520.9,"36 months",8.9,"A","< 1 year",60000,12.08,2013-12-01,2016-02-01,"credit_card","CA",2000-08-01,700,0.031082508250825,792,2016-12-01,2013,1,0,1,"1",2014-01-01,1,8.2,8.1
"2","10124568",9600,11719.12001,"36 months",14.47,"C","7 years",95000,4.61,2013-12-01,2016-03-01,"credit_card","CA",2006-09-01,670,0.0735805559027778,821,2016-12-01,2013,1,0,1,"1",2014-01-01,1,8.2,8.1
"3","9788204",12000,13225.07924,"36 months",14.98,"C","10+ years",85000,22.01,2013-12-01,2014-09-01,"debt_consolidation","CA",1991-05-01,660,0.0340299788888888,274,2016-12-01,2013,1,0,1,"1",2014-01-01,1,8.2,8.1
"4","8989049",18000,20576.07014,"36 months",8.9,"A","3 years",150000,21.79,2013-12-01,2016-12-01,"debt_consolidation","CA",1997-03-01,715,0.0477050025925926,1096,2016-12-01,2013,1,0,0,"1",2014-01-01,1,8.2,8.1
"5","9634687",20000,23211.19,"36 months",16.24,"C","7 years",68377,29.48,2013-12-01,2015-01-01,"debt_consolidation","CA",1997-05-01,675,0.0535198333333333,396,2016-12-01,2013,1,0,1,"1",2014-01-01,1,8.2,8.1
"6","9115322",8950,4513.2,"36 months",12.99,"B","5 years",48960,12.03,2013-12-01,2014-12-01,"credit_card","CA",2002-10-01,660,-0.165243947858473,365,2016-12-01,2013,0,0,0,"1",2014-01-01,1,8.2,8.1
"7","9124916",7750,8808.650006,"36 months",9.67,"B","n/a",27000,26.36,2013-12-01,2015-12-01,"credit_card","CA",1996-09-01,730,0.0455333335913978,730,2016-12-01,2013,1,0,1,"1",2014-01-01,1,8.2,8.1
"8","8648385",15000,9427.83,"36 months",10.99,"B","6 years",56000,30.6,2013-12-01,2015-05-01,"debt_consolidation","CA",1994-04-01,690,-0.123826,516,2016-12-01,2013,0,0,0,"1",2014-01-01,1,8.2,8.1
"9","9077535",10000,12246.29033,"36 months",13.67,"B","9 years",120000,14.4,2013-11-01,2016-12-01,"small_business","CA",1993-07-01,700,0.0748763443333333,1126,2016-11-01,2013,1,0,0,"1",2013-12-01,1,8.3,8.2
"10","9077442",3600,4634.72039,"36 months",17.1,"C","10+ years",125000,5.78,2013-12-01,2016-12-01,"debt_consolidation","CA",1997-06-01,665,0.0958074435185186,1096,2016-12-01,2013,1,0,0,"1",2014-01-01,1,8.2,8.1
"11","8990491",20000,23474.82,"36 months",17.76,"D","7 years",110000,16.94,2013-11-01,2014-12-01,"debt_consolidation","CA",2001-03-01,680,0.0579136666666666,395,2016-11-01,2013,1,0,1,"1",2013-12-01,1,8.3,8.2
"12","8835730",14000,16904.63001,"36 months",12.99,"B","7 years",75500,4.31,2013-11-01,2016-05-01,"debt_consolidation","CA",2000-09-01,695,0.0691578573809524,912,2016-11-01,2013,1,0,1,"1",2013-12-01,1,8.3,8.2
"13","8638666",35000,40059.90355,"36 months",8.9,"A","10+ years",260000,11.23,2013-11-01,2016-12-01,"credit_card","CA",1988-02-01,755,0.0481895576190476,1126,2016-11-01,2013,1,0,0,"1",2013-12-01,1,8.3,8.2
"14","8524713",26000,30778.97,"36 months",17.76,"D","3 years",77000,15.9,2013-11-01,2015-01-01,"debt_consolidation","CA",1999-02-01,690,0.0612688461538462,426,2016-11-01,2013,1,0,1,"1",2013-12-01,1,8.3,8.2
"15","7864587",6625,6877.876526,"36 months",15.61,"C","7 years",70000,11.26,2013-11-01,2014-02-01,"other","CA",2001-12-01,735,0.0127233472201258,92,2016-11-01,2013,1,0,1,"1",2013-12-01,1,8.3,8.2
"16","8566177",5600,7410.138555,"36 months",19.2,"D","10+ years",60000,18.28,2013-11-01,2016-11-01,"credit_card","CA",1995-04-01,660,0.107746342559524,1096,2016-11-01,2013,1,0,0,"1",2013-12-01,1,8.3,8.2
"17","8605883",23500,25037.22902,"36 months",9.67,"B","n/a",53712,28.84,2013-11-01,2014-08-01,"debt_consolidation","CA",2003-04-01,770,0.0218046669503546,273,2016-11-01,2013,1,0,1,"1",2013-12-01,1,8.3,8.2
"18","8366271",11500,13457.10999,"36 months",12.99,"B","9 years",35000,21.88,2013-11-01,2015-07-01,"credit_card","CA",1999-08-01,695,0.0567278257971015,607,2016-11-01,2013,1,0,1,"1",2013-12-01,1,8.3,8.2
"19","7945830",11200,3499.29,"36 months",15.1,"C","6 years",35000,10.29,2013-10-01,2014-07-01,"credit_card","CA",2008-06-01,685,-0.229187797619048,273,2016-10-01,2013,0,0,0,"1",2013-11-01,1,8.5,8.3
"20","7686881",3825,4656.46,"36 months",14.3,"C","3 years",170000,0.42,2013-10-01,2015-12-01,"debt_consolidation","CA",1994-06-01,660,0.0724583877995643,791,2016-10-01,2013,1,0,1,"1",2013-11-01,1,8.5,8.3
"21","7935439",15000,19119.56001,"36 months",19.52,"D","10+ years",96143.65,8.85,2013-10-01,2015-09-01,"debt_consolidation","CA",1990-12-01,660,0.091545778,700,2016-10-01,2013,1,0,1,"1",2013-11-01,1,8.5,8.3
"22","7678594",9450,10589.96811,"36 months",12.99,"B","< 1 year",30000,21.52,2013-10-01,2014-11-01,"debt_consolidation","CA",2008-07-01,665,0.0402105153439153,396,2016-10-01,2013,1,0,1,"1",2013-11-01,1,8.5,8.3
"23","7625673",23850,29995.8,"36 months",15.61,"C","10+ years",75000,30.21,2013-10-01,2016-08-01,"debt_consolidation","CA",1998-12-01,700,0.085895178197065,1035,2016-10-01,2013,1,0,1,"1",2013-11-01,1,8.5,8.3
"24","7645412",2250,2978.152089,"36 months",19.2,"D","10+ years",33000,3.24,2013-10-01,2016-10-01,"other","CA",2005-02-01,685,0.107874383555556,1096,2016-10-01,2013,1,0,0,"1",2013-11-01,1,8.5,8.3
"25","7450181",15000,16168.77973,"36 months",19.52,"D","2 years",80000,9.97,2013-10-01,2014-03-01,"other","CA",2010-05-01,685,0.0259728828888889,151,2016-10-01,2013,1,0,1,"1",2013-11-01,1,8.5,8.3
"26","7456039",10000,11745.07,"36 months",10.99,"B","6 years",45000,19.68,2013-10-01,2016-05-01,"debt_consolidation","CA",2000-12-01,715,0.058169,943,2016-10-01,2013,1,0,1,"1",2013-11-01,1,8.5,8.3
"27","7365945",10000,10803.36036,"36 months",9.99,"B","10+ years",75000,14.58,2013-10-01,2014-09-01,"debt_consolidation","CA",2003-02-01,690,0.0267786786666667,335,2016-10-01,2013,1,0,1,"1",2013-11-01,1,8.5,8.3
