"series_id","value","date","state"
"LASST010000000000003","3.9",2007-01-01,"AL"
"LASST010000000000003","3.9",2007-02-01,"AL"
"LASST010000000000003","3.8",2007-03-01,"AL"
"LASST010000000000003","3.8",2007-04-01,"AL"
"LASST010000000000003","3.9",2007-05-01,"AL"
"LASST010000000000003","3.9",2007-06-01,"AL"
"LASST010000000000003","4",2007-07-01,"AL"
"LASST010000000000003","4.1",2007-08-01,"AL"
"LASST010000000000003","4.2",2007-09-01,"AL"
"LASST010000000000003","4.3",2007-10-01,"AL"
"LASST010000000000003","4.4",2007-11-01,"AL"
"LASST010000000000003","4.4",2007-12-01,"AL"
"LASST010000000000003","4.5",2008-01-01,"AL"
"LASST010000000000003","4.6",2008-02-01,"AL"
"LASST010000000000003","4.8",2008-03-01,"AL"
"LASST010000000000003","5",2008-04-01,"AL"
"LASST010000000000003","5.2",2008-05-01,"AL"
"LASST010000000000003","5.5",2008-06-01,"AL"
"LASST010000000000003","5.7",2008-07-01,"AL"
"LASST010000000000003","6",2008-08-01,"AL"
"LASST010000000000003","6.4",2008-09-01,"AL"
"LASST010000000000003","6.9",2008-10-01,"AL"
"LASST010000000000003","7.5",2008-11-01,"AL"
"LASST010000000000003","8.3",2008-12-01,"AL"
"LASST010000000000003","9.1",2009-01-01,"AL"
"LASST010000000000003","9.8",2009-02-01,"AL"
"LASST010000000000003","10.4",2009-03-01,"AL"
"LASST010000000000003","10.9",2009-04-01,"AL"
"LASST010000000000003","11.2",2009-05-01,"AL"
"LASST010000000000003","11.4",2009-06-01,"AL"
"LASST010000000000003","11.6",2009-07-01,"AL"
"LASST010000000000003","11.8",2009-08-01,"AL"
"LASST010000000000003","11.9",2009-09-01,"AL"
"LASST010000000000003","11.9",2009-10-01,"AL"
"LASST010000000000003","11.9",2009-11-01,"AL"
"LASST010000000000003","11.8",2009-12-01,"AL"
"LASST010000000000003","11.7",2010-01-01,"AL"
"LASST010000000000003","11.6",2010-02-01,"AL"
"LASST010000000000003","11.3",2010-03-01,"AL"
"LASST010000000000003","10.8",2010-04-01,"AL"
"LASST010000000000003","10.4",2010-05-01,"AL"
